movieId,title,genres,imdbId,tmdbId,Release_Year,Director,Stars,Original Language,Revenue,Keywords
14,Nixon (1995),Drama,113987,10858,1995,Oliver Stone,"['anthony hopkins', 'joan allen', 'powers boothe', 'ed harris', 'bob hoskins', 'e g marshall', 'david paymer', 'david hyde pierce', 'paul sorvino']",English,13681765,"['washington dc, usa', 'usa president', '1970s', 'presidential election', 'watergate scandal', 'biography', 'government', 'historical figure', 'richard nixon', '1960s']"
15,Cutthroat Island (1995),Action|Adventure|Romance,112760,1408,1995,Renny Harlin,"['geena davis', 'matthew modine', 'frank langella', 'maury chaykin', 'patrick malahide', 'stan shaw', 'rex linn', 'paul dillon', 'christopher masterson']",English,10017322,"['exotic island', 'treasure', 'map', 'island', 'ship', 'scalp', 'sword fight', 'betrayal', 'treasure map', 'pirate', 'heroine', 'swashbuckler', 'adventurer', 'pirate ship', '17th century']"
16,Casino (1995),Drama|Thriller,112641,524,1995,Martin Scorsese,"['robert de niro', 'sharon stone', 'joe pesci', 'james woods', 'don rickles', 'alan king', 'kevin pollak', 'l q jones', 'dick smothers']",English,116112375,"['poker', 'gambling', 'casino', 'italian american', 'drug abuse', '1970s', 'fbi', 'overdose', 'greed', 'rise and fall', 'car bomb', 'organized crime', 'mafia', 'money', 'jewish american', 'las vegas', 'desert', 'aggressive', '1980s']"
17,Sense and Sensibility (1995),Drama|Romance,114388,4584,1995,Ang Lee,"['emma thompson', 'kate winslet', 'alan rickman', 'hugh grant', 'gemma jones', 'greg wise', 'elizabeth spriggs', 'imogen stubbs', 'harriet walter']",English,134582776,"['london, england', 'countryside', 'based on novel or book', 'servant', 'country life', 'widow', 'pneumonia', 'secret love', 'inheritance', 'military officer', 'period drama', 'rainstorm', 'decorum', 'horse carriage', 'young love', 'dowry', '19th century', 'penniless', 'social elite', 'bloodletting', 'free spirited', 'sussex', '1800s', 'sisters love', 'social classes', 'marry for money', 'secret engagement', 'devonshire, england']"
18,Four Rooms (1995),Thriller,113101,5,1995,Allison Anders,"['tim roth', 'jennifer beals', 'antonio banderas', 'valeria golino', 'david proval', 'sammi davis', 'amanda de cadenet', 'madonna', 'ione skye']",English,4257354,"['hotel', ""new year's eve"", 'witch', 'bet', 'hotel room', 'sperm', 'anthology', 'los angeles, california', 'hoodlum', 'multiple storylines', 'woman director']"
19,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273,1995,Steve Oedekerk,"['jim carrey', 'ian mcneice', 'simon callow', 'maynard eziashi', 'bob gunton', 'sophie okonedo', 'tommy davidson', 'adewale akinnuoye agbaje', 'danny daniels']",English,212385533,"['africa', 'indigenous', 'kidnapping', 'human animal relationship', 'bat', 'stupidity', 'slapstick comedy', 'animals', 'pets']"
20,Money Train (1995),Action,113845,11517,1995,Joseph Ruben,"['wesley snipes', 'woody harrelson', 'jennifer lopez', 'robert blake', 'chris cooper', 'katie gill', 'joe grifasi', 'scott sowers', 'skipp sudduth']",English,77224232,"['new york city', 'sibling relationship', 'subway', 'new york subway', 'train robbery']"
21,Get Shorty (1995),Action|Comedy|Drama,113161,8012,1995,Barry Sonnenfeld,"['john travolta', 'gene hackman', 'rene russo', 'danny devito', 'dennis farina', 'delroy lindo', 'james gandolfini', 'jon gries', 'renee props']",English,115101622,"['gambling', 'miami, florida', 'based on novel or book', 'gangster', 'murder', 'travel', 'mafia', 'money', 'debt', 'mobster', 'business', 'hollywood', 'drugs', 'producer', 'con']"
22,Copycat (1995),Crime|Drama|Thriller,112722,1710,1995,Jon Amiel,"['sigourney weaver', 'holly hunter', 'dermot mulroney', 'william mcnamara', 'harry connick jr', 'j e freeman', 'will patton', 'john rothman', 'shannon o hurley']",English,32000000,"['police brutality', 'psychology', 'police operation', 'police protection', 'serial killer', 'psychologist', 'cowardliness']"
23,Assassins (1995),Thriller,112401,9691,1995,Richard Donner,"['sylvester stallone', 'antonio banderas', 'julianne moore', 'anatoli davydov', 'muse watson', 'steve kahan', 'kelly rowan', 'reed diamond', 'kai wulff']",English,30303072,"['central intelligence agency (cia)', 'bank', 'cat', 'mexican standoff', 'seattle, washington', 'hitman', 'mission of murder', 'hidden camera', 'rivalry', 'rescue', 'shootout', 'police chase', 'sniper rifle', 'detroit, michigan', 'silencer', 'double cross', 'caribbean sea']"
24,Powder (1995),Drama|Sci-Fi,114168,12665,1995,Victor Salva,"['mary steenburgen', 'sean patrick flanery', 'lance henriksen', 'jeff goldblum', 'brandon smith', 'bradford tatum', 'susan tyrrell', 'missy crider', 'ray wise']",English,30900000,"['teenage boy', 'held at gunpoint', 'teacher student relationship', 'albino', 'fainting', 'christ allegory', 'psionic power', 'healing power', 'flickering light', 'extrasensory perception', 'pale']"
25,Leaving Las Vegas (1995),Drama|Romance,113627,451,1995,Mike Figgis,"['nicolas cage', 'elisabeth shue', 'julian sands', 'richard lewis', 'steven weber', 'kim adams', 'emily procter', 'stuart regen', 'valeria golino']",English,49800000,"['individual', 'prostitute', 'alcohol', 'casino', 'love at first sight', 'lovesickness', 'movie business', 'screenwriter', 'hotel room', 'dying and death', 'rage and hate', 'unsociability', 'alcoholism', 'los angeles, california', 'las vegas', 'alcohol abuse']"
26,Othello (1995),Drama,114057,16420,1995,Oliver Parker,"['laurence fishburne', 'irene jacob', 'kenneth branagh', 'nathaniel parker', 'michael maloney', 'anna patrick', 'nicholas farrell', 'indra ove', 'michael sheen']",English,2800000,"['jealousy', 'friends', 'the moors (people)']"
27,Now and Then (1995),Drama,114011,9263,1995,Lesli Linka Glatter,"['christina ricci', 'rosie o donnell', 'thora birch', 'melanie griffith', 'gaby hoffmann', 'demi moore', 'ashleigh aston moore', 'rita wilson', 'devon sawa']",English,27400000,"['1970s', 'female friendship', 'coming of age', 'gynecologist', 'photocopier', 'truth or dare', 'woman director']"
28,Persuasion (1995),Romance,114117,17015,1995,Roger Michell,"['amanda root', 'ciaran hinds', 'susan fleetwood', 'fiona shaw', 'john woodvine', 'phoebe nicholls', 'samuel west', 'sophie thompson', 'judy cornwell']",English,,"['based on novel or book', 'captain', 'napoleonic wars', 'old flame', 'admiral']"
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,112682,902,1995,Marc Caro,"['ron perlman', 'dominique pinon', 'judith vittet', 'daniel emilfork', 'jean claude dreyfus', 'genevieve brunet', 'odile mallet', 'mireille mosse', 'serge merlin']",French,1738611,"['clone', 'dream', 'island', 'eye', 'dystopia', 'aging', 'friendship', 'steampunk', 'rescue', 'childhood', 'child kidnapping', 'flea']"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,115012,37557,1995,Zhang Yimou,,Chinese,,"['shanghai, china', 'chinese mafia', 'coming of age', 'mistress', 'criminal underworld', 'drug lord', 'triad', 'modern china', 'nightclub singer', '1930s', 'cabaret singer', 'chinese triad']"
31,Dangerous Minds (1995),Drama,112792,9909,1995,John N. Smith,"['michelle pfeiffer', 'george dzundza', 'courtney b vance', 'robin bartlett', 'beatrice winde', 'john neville', 'lorraine toussaint', 'renoly santiago', 'wade dominguez']",English,179519401,"['california', 'rap music', 'karate', 'high school', 'naval officer', 'teacher', 'based on memoir or autobiography', 'amusement park', 'schoolteacher']"
32,Twelve Monkeys (1995),Drama|Sci-Fi,114746,63,1995,Terry Gilliam,"['bruce willis', 'madeleine stowe', 'brad pitt', 'christopher plummer', 'david morse', 'jon seda', 'christopher meloni', 'joey perillo', 'lisagay hamilton']",English,168841459,"['schizophrenia', 'philadelphia, pennsylvania', 'stockholm syndrome', 'underground', 'pimp', 'biological weapon', 'lion', 'paranoia', 'asylum', 'prison cell', 'florida keys', 'airplane', 'mental breakdown', 'time travel', 'post-apocalyptic future', 'dystopia', 'insane asylum', 'dormitory', 'past', 'insanity', 'cockroach', 'volunteer', 'remake', 'flashback', 'jail', 'psychiatric hospital', 'drug use', 'mental institution', 'alternate history', 'disease', 'lethal virus', 'paradox', 'psychiatrist', 'monkey', 'epidemic', 'trapped', 'falling down stairs', 'street life', 'nonlinear timeline', 'medical research', 'tooth', 'pantyhose', 'gas mask', 'psychosis', ""child's point of view"", 'subterranean', 'virus', 'recurring dream', '1990s', 'reflective', 'escaped animal', 'future noir', '2030s', 'cassandra syndrome', 'bullet', 'endless loop', 'stream', 'vivisection', 'nude pantyhose', 'microbiologist', 'real movie shown in fictional situation', 'kick in face', 'eating spider', 'reference to houdini', 'abandoned theater', 'tied to a bed', 'psychiatric care', 'hiding in a barn', 'reference to cassandra', 'biblical quote', 'person in a car trunk', 'watching a movie', 'world war one', 'lab animal', 'cassandra complex']"
33,Wings of Courage (1995),Adventure|Romance,114952,78802,1995,Jean-Jacques Annaud,"['craig sheffer', 'elizabeth mcgovern', 'tom hulce', 'ken pogue', 'ron sauve', 'val kilmer', 'freddy andreiuci', 'molly parker']",French,,
34,Babe (1995),Children's|Comedy|Drama,112431,9598,1995,Chris Noonan,"['christine cavanaugh', 'miriam margolyes', 'danny mann', 'hugo weaving', 'miriam flynn', 'james cromwell', 'magda szubanski', 'russi taylor', 'roscoe lee browne']",English,254100000,"['alarm clock', 'cat', 'duck', 'sheep', 'pig', 'farm', 'affection', 'piglet', 'heroism', 'anthropomorphism', ""based on children's book"", 'dog', 'separation', 'farmer', 'grandson', 'sheepdog', 'talking pig', 'christmas']"
35,Carrington (1995),Drama|Romance,112637,47018,1995,Christopher Hampton,"['emma thompson', 'jonathan pryce', 'steven waddington', 'samuel west', 'rufus sewell', 'penelope wilton', 'janet mcteer', 'jeremy northam', 'alex kingston']",English,,"['england', 'painter', 'conscientious objector', 'soldier', 'polyamory', 'lgbt interest']"
36,Dead Man Walking (1995),Drama,112818,687,1995,Tim Robbins,"['susan sarandon', 'sean penn', 'robert prosky', 'raymond j barry', 'r lee ermey', 'celia weston', 'lois smith', 'scott wilson', 'roberta maxwell']",English,39363635,"['prison', 'rape', 'nun', 'socially deprived family', 'penalty', 'death penalty', 'despair', 'death row', 'therapist', 'self-discovery', 'prison cell', 'court case', 'death sentence', 'doomed man', 'sentence', 'lethal injection', 'forgiveness', 'charity', 'mercy petition', 'rage and hate', 'unsociability', 'right and justice', 'court', 'cowardliness']"
37,Across the Sea of Time (1995),Documentary,112286,139405,1995,Stephen Low,"['peter reznick', 'john mcdonough', 'avi hoffman', 'matt malloy', 'abby lewis', 'victor steinbach', 'peter boyden', 'philip levy', 'nick muglia']",English,16015639,
38,It Takes Two (1995),Comedy,113442,33689,1995,Andy Tennant,"['kirstie alley', 'steve guttenberg', 'ashley olsen', 'mary kate olsen', 'jane sibbett', 'philip bosco', 'michelle grisom', 'desmond robertson', 'tiny mills']",English,19474589,"['matchmaking', 'orphan', 'identical twin', 'relationship sabotage']"
39,Clueless (1995),Comedy|Romance,112697,9603,1995,Amy Heckerling,"['alicia silverstone', 'stacey dash', 'brittany murphy', 'paul rudd', 'donald faison', 'elisa donovan', 'breckin meyer', 'jeremy sisto', 'dan hedaya']",English,56631572,"['based on novel or book', 'puberty', 'high school', 'make a match', 'spoiled child', 'coming of age', 'conflict', 'wedding', 'makeover', 'woman director', 'popular girl', 'gay theme']"
40,"Cry, the Beloved Country (1995)",Drama,112749,34615,1995,Darrell James Roodt,"['richard harris', 'james earl jones', 'charles s dutton', 'vusi kunene', 'tsholofelo wechoemang', 'dolly rathebe', 'jack robinson', 'ramalao makhene', 'jennifer steyn']",English,676525,"['based on novel or book', 'south africa', 'apartheid', 'priest', '1940s', 'race relations']"
41,Richard III (1995),Drama|War,114279,31174,1995,Richard Loncraine,"['ian mckellen', 'annette bening', 'jim broadbent', 'robert downey jr', 'kristin scott thomas', 'adrian dunbar', 'maggie smith', 'tim mcinnerny', 'edward hardwicke']",English,2748518,"['england', 'kidnapping', 'murder', 'king']"
42,Dead Presidents (1995),Action|Crime|Drama,112819,11443,1995,Allen Hughes,"['larenz tate', 'keith david', 'chris tucker', 'freddy rodriguez', 'rose jackson', 'n bushe wright', 'clifton powell', 'terrence howard', 'bokeem woodbine']",English,24100000,"['post-traumatic stress disorder (ptsd)', 'drug abuse', 'war veteran', 'vietnam', 'heist', 'money', 'loss of virginity', 'redemption', 'revolutinoary', 'mercy killing', 'armored truck', 'bronx, new york city', 'medic', '1960s']"
43,Restoration (1995),Drama,114272,35196,1995,Michael Hoffman,"['robert downey jr', 'meg ryan', 'sam neill', 'david thewlis', 'hugh grant', 'polly walker', 'ian mckellen', 'ian mcdiarmid', 'mary macleod']",English,4005941,"['jealousy', 'medicine', 'fountain', 'court', 'wealth', 'spaniel', 'gloves', '17th century', 'british monarchy']"
44,Mortal Kombat (1995),Action|Adventure,113855,9312,1995,Paul W. S. Anderson,"['robin shou', 'linden ashby', 'cary hiroyuki tagawa', 'christophe lambert', 'bridgette wilson sampras', 'talisa soto', 'trevor goddard', 'chris casamassa', 'ed boon']",English,122195920,"['saving the world', 'martial arts', 'monster', 'island', 'magic', 'villain', 'alternate dimension', 'ninja', 'gore', 'sorcerer', 'tournament', 'underground fighting', 'based on video game', 'gods', 'ghost', 'hand to hand combat', 'warrior', 'action hero', 'supernatural power', 'mortal kombat', 'good versus evil']"
45,To Die For (1995),Comedy|Drama,114681,577,1995,Gus Van Sant,"['nicole kidman', 'matt dillon', 'joaquin phoenix', 'casey affleck', 'illeana douglas', 'alison folland', 'dan hedaya', 'wayne knight', 'kurtwood smith']",English,21300000,"['adultery', 'based on novel or book', 'winter', 'obsession', 'new hampshire', 'mockumentary', 'narcissistic personality disorder']"
46,How to Make an American Quilt (1995),Drama|Romance,113347,11861,1995,Jocelyn Moorhouse,"['winona ryder', 'anne bancroft', 'ellen burstyn', 'kate nelligan', 'jean simmons', 'maya angelou', 'alfre woodard', 'dermot mulroney', 'lois smith']",English,41200020,"['wedding vows', 'marriage proposal', 'married couple', 'monogamy', 'advice', 'marriage', 'quilt', 'love', 'family holiday', 'extramarital affair', 'grandmother', 'woman director']"
47,Seven (Se7en) (1995),Crime|Thriller,114369,807,1995,David Fincher,"['morgan freeman', 'brad pitt', 'gwyneth paltrow', 'john cassini', 'peter crombie', 'reg e cathey', 'r lee ermey', 'daniel zacapa', 'andrew kevin walker']",English,327311859,"['self-fulfilling prophecy', 'detective', 's.w.a.t.', 'rain', 'drug dealer', 'evisceration', 'rage and hate', 'pride and vanity', 'immoderateness', 'insomnia', 'sadism', 'investigation', 'pension', 'police', 'psychopath', 'murder', 'serial killer', 'religion', 'seven deadly sins', 'depravity', 'neo-noir']"
48,Pocahontas (1995),Animation|Children's|Musical|Romance,114148,10530,1995,Eric Goldberg,"['irene bedard', 'mel gibson', 'david ogden stiers', 'john kassir', 'christian bale', 'judy kuhn', 'billy connolly', 'frank welker', 'russell means']",English,346100000,"['culture clash', 'villain', 'forbidden love', 'colony', 'musical', 'gold rush', 'princess', 'native american', 'colonisation', 'virginia', 'star crossed lovers', 'intercultural relationship', 'based on myths, legends or folklore', '17th century', 'shamanism', 'animal sidekick']"
49,When Night Is Falling (1995),Drama|Romance,114916,8391,1995,Patricia Rozema,"['pascale bussieres', 'rachael crawford', 'henry czerny', 'david fox', 'don mckellar', 'tracy wright', 'clare coulter', 'karyne steben', 'sarah steben']",English,,"['professor', 'lgbt', 'woman director', 'lesbian']"
50,"Usual Suspects, The (1995)",Crime|Thriller,114814,629,1995,Bryan Singer,"['kevin spacey', 'gabriel byrne', 'stephen baldwin', 'kevin pollak', 'benicio del toro', 'chazz palminteri', 'pete postlethwaite', 'giancarlo esposito', 'suzy amis']",English,23300000,"['new york city', 'relatives', 'flashback', 'heist', 'gay interest', 'police corruption', 'whodunit', 'theft', 'criminal', 'criminal mastermind', 'cargo ship', 'mind game', 'neo-noir', 'mystery villain']"
51,Guardian Angel (1994),Action|Drama|Thriller,109950,117164,1994,Richard W. Munchkin,"['cynthia rothrock', 'marshall r teague', 'daniel mcvicar', 'lydie denier', 'john o leary', 'art camacho', 'robert miano', 'ken mcleod', 'brian brophy']",English,,"['helicopter', 'martial arts', 'bodyguard', 'police officer killed', 'boat chase', 'police officer', 'female martial artist', 'female police officer', 'police surveillance', 'counterfeit money', 'mental hospital', 'murder of a police officer', 'jetski', 'corrupt cop', 'car chase', 'female bodyguard', 'shooting a police officer', 'speedboat chase', 'horse polo']"
52,Mighty Aphrodite (1995),Comedy,113819,11448,1995,Woody Allen,"['woody allen', 'mira sorvino', 'helena bonham carter', 'f murray abraham', 'donald symington', 'claire bloom', 'olympia dukakis', 'michael rapaport', 'david ogden stiers']",English,6700000,"['prostitute', 'adoption', 'adoptive father', 'childlessness', 'looking for  birth parents', 'adoptive mother', 'illegal prostitution', 'child']"
53,Lamerica (1994),Drama,110299,49133,1994,Gianni Amelio,"['enrico lo verso', 'michele placido', 'piro milkani', 'carmelo di mazzarelli', 'elida janushi', 'sefer pema', 'idajet sejdia', 'marjeta ljarja', 'elida ndreu']",Italian,,
54,"Big Green, The (1995)",Children's|Comedy,112499,26441,1995,Holly Goldberg Sloan,"['olivia d abo', 'steve guttenberg', 'chauncey leopardi', 'patrick renna', 'billy l sullivan', 'bug hall', 'jessica robertson', 'anthony esquivel', 'jordan brower']",English,,"['sports', 'football (soccer)', 'woman director']"
55,Georgia (1995),Drama,113158,97406,1995,Ulu Grosbard,"['jennifer jason leigh', 'mare winningham', 'ted levine', 'max perlich', 'john doe', 'john c reilly', 'jimmy witherspoon', 'jason carter', 'tom bower']",English,1110974,"['sibling relationship', 'alcohol', 'seattle, washington', 'heroin', 'artist', 'singer', 'drugs', 'folk singer', 'sister sister relationship']"
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,113541,124057,1995,Robert Tinnell,"['johnny morina', 'malcolm mcdowell', 'maggie castle', 'james rae', 'michael ironside', 'justin borntraeger', 'billy coyle', 'jamieson boulanger', 'jeoffrey graves']",English,,"['sword', 'king arthur', 'excalibur']"
57,Home for the Holidays (1995),Drama,113321,9089,1995,Jodie Foster,"['holly hunter', 'robert downey jr', 'anne bancroft', 'charles durning', 'dylan mcdermott', 'geraldine chaplin', 'steve guttenberg', 'cynthia stevenson', 'claire danes']",English,22119269,"['generations conflict', 'baltimore, usa', 'thanksgiving', 'family clan', 'family conflict', 'woman director', 'christmas']"
58,"Postino, Il (The Postman) (1994)",Drama|Romance,110877,11010,1994,Michael Radford,"['massimo troisi', 'philippe noiret', 'maria grazia cucinotta', 'renato scarpa', 'linda moretti', 'mariano rigillo', 'anna bonaiuto', 'sergio solli', 'carlo di maio']",Italian,33000000,"['island', 'letter', 'postman', 'naples, italy', 'fisherman', 'poet', 'love', 'poverty']"
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,112714,99040,1995,Robert Lepage,"['lothaire bluteau', 'patrick goyette', 'jean louis millette', 'kristin scott thomas', 'ron burrage', 'richard frechette', 'francois papineau', 'marie gignac', 'normand daneau']",French,,
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,113419,11359,1995,Frank Oz,"['hal scardino', 'litefoot', 'lindsay crouse', 'richard jenkins', 'rishi bhat', 'steve coogan', 'david keith', 'sakina jaffrey', 'vincent kartheiser']",English,35700000,"['based on novel or book', 'cupboard', 'games', 'puppet', ""based on children's book"", 'parallel world', 'toy comes to life', 'toy soldier']"
61,Eye for an Eye (1996),Drama|Thriller,116260,17182,1996,John Schlesinger,"['sally field', 'kiefer sutherland', 'ed harris', 'beverly d angelo', 'charlayne woodard', 'joe mantegna', 'olivia burnette', 'alexandra kyle', 'keith david']",English,26877589,"['rape', 'gun', 'self-defense', 'rape and revenge', 'grieving parents']"
62,Mr. Holland's Opus (1995),Drama,113862,2054,1995,Stephen Herek,"['richard dreyfuss', 'glenne headly', 'jay thomas', 'olympia dukakis', 'william h macy', 'alicia witt', 'terrence howard', 'damon whitaker', 'jean louisa kelly']",English,106300000,"['husband wife relationship', 'composer', 'mentor', 'deaf-mute', 'portland, oregon', 'music teacher', 'apprentice', 'high school', 'marching band', 'teacher student relationship', 'high school teacher', 'disabled', 'teaching', 'sign languages', 'father son relationship']"
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,116126,10607,1996,Paris Barclay,"['shawn wayans', 'marlon wayans', 'tracey cherelle jones', 'chris spencer', 'vivica a fox', 'lahmard j tate', 'rappin granny', 'suli mccullough', 'bernie mac']",English,20100000,"['date', 'slang', 'hip-hop', 'gangster', 'cousin', 'parody', 'hood', 'gang', 'social satire', 'racism']"
64,Two if by Sea (1996),Comedy|Romance,118002,19760,1996,Bill Bennett,"['sandra bullock', 'denis leary', 'yaphet kotto', 'stephen dillane', 'tracey cherelle jones', 'julia montgomery brown', 'jane moffat', 'mike starr', 'jonathan tucker']",English,10658278,"['island', 'painting', 'thief', 'seasickness']"
65,Bio-Dome (1996),Comedy,115683,9536,1996,Jason Bloom,"['pauly shore', 'stephen baldwin', 'william atherton', 'joey lauren adams', 'teresa hill', 'henry gibson', 'kevin west', 'denise dowse', 'dara tomanovich']",English,13400000,"['biotope', 'vegetarian', 'pollution', 'biosphere']"
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,116839,11525,1996,Farhad Mann,"['patrick bergin', 'matt frewer', 'austin o brien', 'ely pouget', 'camille cooper', 'patrick labrecque', 'crystal celeste grant', 'sean p young', 'mathew valencia']",English,2409225,"['technology', 'hacker', 'virtual reality', 'computer', 'sword fight', 'revenge', 'cyberpunk', 'scientist', 'cyberspace', 'surveillance', 'based on short story', 'world domination', 'supernatural power']"
67,Two Bits (1995),Drama,114753,40628,1995,James Foley,"['jerry barone', 'al pacino', 'mary elizabeth mastrantonio', 'joe grifasi', 'geoff pierson', 'patrick borriello', 'andy romano', 'donna mitchell', 'mary testa']",English,,
68,French Twist (Gazon maudit) (1995),Comedy|Romance,113149,4482,1995,Josiane Balasko,"['victoria abril', 'josiane balasko', 'alain chabat', 'ticky holgado', 'catherine hiegel', 'catherine samie', 'catherine lachens', 'katrine boorman', 'veronique barrault']",French,,"['love triangle', 'southern france', 'estate agent', 'menage a trois', 'van', 'polyamory', 'woman director']"
69,Friday (1995),Comedy,113118,10634,1995,F. Gary Gray,"['ice cube', 'chris tucker', 'nia long', 'tommy lister jr', 'anna maria horsford', 'regina king', 'paula jai parker', 'bernie mac', 'angela means']",English,28200000,"['rap music', 'parent child relationship', 'drug dealer', 'male friendship', 'rapper', 'urban life', 'slacker', 'bully', 'marijuana', 'pot smoking', 'los angeles, california', 'drugs']"
